#CODE small test;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
monowole.0;Listen to petitioners;;;;;;;;;;;;;x
monowole.0.desc;You decide to attend your court and listen to your petitioners personally, without interference from your steward.;;;;;;;;;;;;;x
monowole.0.a;This will be fun!;;;;;;;;;;;;;x
monowole.0.b;Tis my duty, one cannot postpone duty forever.;;;;;;;;;;;;;x
monowole.0.c;Well, it can't actually kill me to do this once...;;;;;;;;;;;;;x
monowole.0.d;This was a mistake...;;;;;;;;;;;;;x
monowole.1;I. Am. BORED.;;;;;;;;;;;;;x
monowole.1.desc;[GetHighGodName]! This is killing me, I will die if I have to listen to another damn hog farmer and his stupid kid complaining about the lack of berries in the nearest woods or another goddman fat merchant wanting to marry his niece!;;;;;;;;;;;;;x
monowole.1.a;I give up. Stop it. I'm off, talk to the steward next time.;;;;;;;;;;;;;x
monowole.1.b;Must... Hang... On...;;;;;;;;;;;;;x
monowole.1.c;Hell, bring me more ale! Yes, MORE.;;;;;;;;;;;;;x
monowole.1.d;I'm going to kill the next person who comes in here, GO AWAY!;;;;;;;;;;;;;x
monowole.2;A farmer complains about his neighbour using his land;;;;;;;;;;;;;x
monowole.2.desc;[GetTitledName], it has been a long time since that yard of land was mine, but my neighbour keeps planting his crops on it! On my yard of land!;;;;;;;;;;;;;x
monowole.2.a;Well, since it is yours by right...;;;;;;;;;;;;;x
monowole.2.b;If you had actually used the land, it wouldn't be a problem!;;;;;;;;;;;;;x
monowole.2.c;Your neighbour is producing, it is his now.;;;;;;;;;;;;;x
monowole.2.d;Since you're asking nicely, I won't kill you now. Leave.;;;;;;;;;;;;;x
monowole.3;The barracks are decrepit!;;;;;;;;;;;;;x
monowole.3.desc;[GetTitle], it is absurd the state in which I find the barracks! The former quartermaster neglected it so much it brings shame to me not being able to properly train the men!;;;;;;;;;;;;;x
monowole.3.a;Unbearable! It won't do! Refit the barracks, armory, blacksmith and stables!;;;;;;;;;;;;;x
monowole.3.b;A shame, really, do your best to make it fully working again.;;;;;;;;;;;;;x
monowole.3.c;A pity, but we can only spare to make it functional.;;;;;;;;;;;;;x
monowole.3.d;I have true faith in your skills.;;;;;;;;;;;;;x
monowole.3-1;Barracks fixed;;;;;;;;;;;;;x
monowole.3-1.desc;The barracks were fixed, as you ordered, [GetTitle].;;;;;;;;;;;;;x
monowole.3-1.a;Good.;;;;;;;;;;;;;x
monowole.3-2;Military buildings fixed;;;;;;;;;;;;;x
monowole.3-2.desc;Everything was fixed and rebuild, [GetTitle].;;;;;;;;;;;;;x
monowole.3-2.a;Excellent!;;;;;;;;;;;;;x
monowole.4;Watchtower problem;;;;;;;;;;;;;x
monowole.4.desc;[GetTitle], the easternmost watchtower is crumbling, we need to repair ir at once or we risk it not whitstanding another storm!;;;;;;;;;;;;;x
monowole.4.a;Fix it with the money you need.;;;;;;;;;;;;;x
monowole.4.b;Take the free workers on sundays and holidays.;;;;;;;;;;;;;x
monowole.4.c;I'm sure the builder  made it to stand at least another 3 generations...;;;;;;;;;;;;;x
monowole.4.d;Take the money, hire a master builder and rebuild the towers and walls.;;;;;;;;;;;;;x
monowole.5;Bandits on southern entrance;;;;;;;;;;;;;x
monowole.5.desc;[GetTitledName], the southern exit of the town is infested with bandits, the guild of merchants has already made petitions and even hired some mercenaries, but with the current state of affairs it had no avail.;;;;;;;;;;;;;x
monowole.5.a;Take some of the guards and warriors and kill them.;;;;;;;;;;;;;x
monowole.5.b;Hire more men, take the guards and deal with it.;;;;;;;;;;;;;x
monowole.5.c;Tell the merchants to use another gate.;;;;;;;;;;;;;x
monowole.5.d;They'll disband soon, I'm sure.;;;;;;;;;;;;;x
monowole.6;The boring man;;;;;;;;;;;;;x
monowole.6.desc.1;... And then, the brother of the baker told me it would nor work at all, so I told the lady from before that I found a new one... What do you think?;;;;;;;;;;;;;x
monowole.6.desc.2;... And then, the man from the carriage tried to actually raise the wheel. RAISE. THE. WHEEL. Can you believe that?;;;;;;;;;;;;;x
monowole.6.desc.3;... Again, and I said I liked it, and she asked again why didn't I like it, and I said again that I liked it...;;;;;;;;;;;;;x
monowole.6.desc.4;... The moon was so dark then, and I saw none of the swordsmen at my side, and the wife... Oh, the wife! You won't believe what she said to me...;;;;;;;;;;;;;x
monowole.6.desc.5;...[GetHighGodName] ! She said, and I said you can't speak [GetHighGodName]'s name in vain, but [GetHighGodName] she cried again and I couldn't take it anymore, the coin purse was so light I actually felt kind of, like, free, you know? But the...;;;;;;;;;;;;;x
monowole.6.a;I'm sorry, what?;;;;;;;;;;;;;x
desc = monowole.6.b.desc.1;What did the peasant say you did? Exploited the workers?;;;;;;;;;;;;;x
desc = monowole.6.b.desc.2;What about the man with the strange clothes that was run down by a horseman?;;;;;;;;;;;;;x
desc = monowole.6.b.desc.3;Knights of what? Did they hold you up?;;;;;;;;;;;;;x
desc = monowole.6.b.desc.4;No wonder, the guard of the bridge must have been a great hero.;;;;;;;;;;;;;x
desc = monowole.6.b.desc.5;Did you answer the three questions, then?;;;;;;;;;;;;;x
monowole.6.b;So, who ruined the wedding, exactly?;;;;;;;;;;;;;x
monowole.6.c;Yes, yes, whatever.;;;;;;;;;;;;;x
monowole.6.d;Are you some sort of imbecile?;;;;;;;;;;;;;x
monowole.7;The strange marriage;;;;;;;;;;;;;x
monowole.7.desc;[GetTitledName], I ask your permission to marry a common serf that lived with my family all her life. She was born a year later after I brought her mother to my lands from a raid about 12 years ago.;;;;;;;;;;;;;x
monowole.7.a;Yes, you have permission.;;;;;;;;;;;;;x
monowole.7.b;I'll grant you permission, so long as you pay me the dowry.;;;;;;;;;;;;;x
monowole.7.c;Wait... No.;;;;;;;;;;;;;x
monowole.7.d;Your lands... No! NO! You disgusting ANIMAL! You filth!;;;;;;;;;;;;;x
monowole.8;Too much stress and drink;;;;;;;;;;;;;x
monowole.8.desc;After countless hours of hearing supplicants, your bottom hurts, your head aches, your eyes are blood-red with dryness, you see you've emptied at least two kegs of wine alone...;;;;;;;;;;;;;x
monowole.8.a;It's the only way to cope...;;;;;;;;;;;;;x
monowole.8.b;[GetHighGodName], kill me...;;;;;;;;;;;;;x
monowole.8.c;It was duty.;;;;;;;;;;;;;x
monowole.8.d;And tomorrow, again?!;;;;;;;;;;;;;x
monowole.9;The man who speaks;;;;;;;;;;;;;x
monowole.9.desc;That man has been standing and speaking for at least an hour. It seems important, but... ;;;;;;;;;;;;;x
monowole.9.a;This fly has actually landed on all the heads of this court, amazing!;;;;;;;;;;;;;x
monowole.9.b;Excuse me, but this wart on your forehead, since when do you have it?;;;;;;;;;;;;;x
monowole.9.c;I'm sorry, the herd was led by whom?;;;;;;;;;;;;;x
monowole.9.d;Yes, yes, do what you want, just stop speaking.;;;;;;;;;;;;;x
monowole.10;Screaming in the courtyard;;;;;;;;;;;;;x
monowole.10.desc;The last supplicant of today bowed, you start to feel the tension lifting up, your shoulders relax and you sit back for a moment before standing up after a particularly long day. Suddenly you hear screaming outside, you, some guards and courtiers rush to see what's the fuss about. Two women, beating down a man, both seem pregnant.;;;;;;;;;;;;;x
monowole.10.a;Hah! Ladies, you do amuse me!;;;;;;;;;;;;;x
monowole.10.b;What sort of debauchery is this?!;;;;;;;;;;;;;x
monowole.10.c;I will not have chaos on my rule!;;;;;;;;;;;;;x
monowole.10.d;Enough, please, there's no need for that.;;;;;;;;;;;;;x
monowole.11;The jewish king's decision;;;;;;;;;;;;;x
monowole.11.desc;Two women come to the court, one smearing the other, flaying their arms around. Both claim to be the mother of a child, and they claim the father was one of your warriors. A guard presents the child to you. One of the women strike a semblance with the child.;;;;;;;;;;;;;x
monowole.11.a;It does look like the father, indeed, the mother is clearly the other one.;;;;;;;;;;;;;x
monowole.11.b;It looks too much like the woman to be coincidence, it's clearly hers.;;;;;;;;;;;;;x
monowole.11.c;Let them solve it themselves, it's their problem, not mine.;;;;;;;;;;;;;x
monowole.11.d;Have you heard of King Solomon? A jewish king from ancient times... He solved such a case in a nice way...;;;;;;;;;;;;;x
monowole.12;The poor are hungry.;;;;;;;;;;;;;x
monowole.12.desc;[GetTitledName], liege, last season was too severe on the southern provinces and the merchants are raising the prices to absurd extents and many are starving. I humbly ask of you to donate some of your riches for us to help feed the poor.;;;;;;;;;;;;;x
monowole.12.a;Of course, help them in any way you can!;;;;;;;;;;;;;x
monowole.12.b;I can spare some money. It should suffice.;;;;;;;;;;;;;x
monowole.12.c;We cannot spare the resources.;;;;;;;;;;;;;x
monowole.12.d;LET THEM STARVE, ITLL MAKE THEM STRONGER;;;;;;;;;;;;;x
monowole.13;Some new ideas for health;;;;;;;;;;;;;x
monowole.13.desc.1;My [GetTitle], being a philosopher and physician I manage to spend enough time exploring new possibilities. These latest years I have been grooming an interesting idea for us to implement and to better treat some sorts of diseases, and better ways for the physicians cover the expenses and a sort of default price table for physicians to charge from customers, it would make treatment of said diseases more accessible to the poorest. ;;;;;;;;;;;;;x
monowole.13.desc.2;[GetTitledName], last week I came from a very far away land, and there, their physicians use herbs and tea to treat wounds instead of spitting on them, very strange indeed. I managed to bring a lot of these herbs and would like to start teaching other physicians like myself to use such treatments.;;;;;;;;;;;;;x
monowole.13.desc.3;[GetTitle], I have researched much about the subject of humours and diseases, and my research has led me to believe that great cities have more chance of having outbreaks of illnesses. Therefore I offer the suggestion that you train and bring more physicians to the biggest cities so that when an outbreak happens, we are more prepared.;;;;;;;;;;;;;x
monowole.13.a;Well, I can help you for this season.;;;;;;;;;;;;;x
monowole.13.b;Yes, brilliant idea! I will spare no expense, the populace deserves it!;;;;;;;;;;;;;x
monowole.13.c;This is a ludicrous idea, I deny your request.;;;;;;;;;;;;;x
monowole.13.d;What, there's money to be made on this?;;;;;;;;;;;;;x
# monowole.14;;;;;;;;;;;;;;x
# monowole.14.desc;;;;;;;;;;;;;;x
# monowole.14.a;;;;;;;;;;;;;;x
# monowole.14.b;;;;;;;;;;;;;;x
# monowole.14.c;;;;;;;;;;;;;;x
# monowole.14.d;;;;;;;;;;;;;;x
monowole.15;Give away the leftovers;;;;;;;;;;;;;x
monowole.15.desc;My [GetTitle], I honestly believe that you could show how great your rule is by giving away the leftovers of your banquets and dinners to the hungry and poor. I believe it would be a generous action that would please [GetHighGodName] and also please the populace.;;;;;;;;;;;;;x
monowole.15.a;Yes, it sounds good, let everyone know my generosity.;;;;;;;;;;;;;x
monowole.15.b;No, the cats, dogs and pigs are fed with those.;;;;;;;;;;;;;x
monowole.15.c;No, absolutely not, this is ludicrous. Don't bother me with this again.;;;;;;;;;;;;;x
monowole.16;Pissy neighbour;;;;;;;;;;;;;x
